longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,rooms_per_household,bedrooms_per_room,population_per_household,median_house_value
-122.42,37.8,52.0,3321.0,1115.0,1576.0,1034.0,2.0987,NEAR BAY,3.211798839458414,0.335742246311352,1.5241779497098646,458300.0
-118.38,34.14,40.0,1965.0,354.0,666.0,357.0,6.0876,<1H OCEAN,5.504201680672269,0.1801526717557252,1.865546218487395,483800.0
-121.98,38.36,33.0,1083.0,217.0,562.0,203.0,2.433,INLAND,5.334975369458128,0.2003693444136657,2.768472906403941,101700.0
-117.11,33.75,17.0,4174.0,851.0,1845.0,780.0,2.2618,INLAND,5.351282051282051,0.2038811691423095,2.3653846153846154,96100.0
-118.15,33.77,36.0,4366.0,1211.0,1912.0,1172.0,3.5292,NEAR OCEAN,3.7252559726962455,0.2773705909299129,1.6313993174061434,361800.0
-121.31,37.96,52.0,1829.0,301.0,694.0,319.0,3.3466,INLAND,5.733542319749216,0.1645708037178786,2.175548589341693,92600.0
-118.36,33.85,34.0,1086.0,197.0,509.0,158.0,6.1133,<1H OCEAN,6.873417721518988,0.1813996316758747,3.221518987341772,349300.0
-122.13,37.41,36.0,4787.0,900.0,2039.0,890.0,5.4063,NEAR BAY,5.378651685393258,0.1880091915604763,2.291011235955056,440900.0
-118.44,34.31,22.0,3182.0,822.0,2661.0,746.0,2.7472,<1H OCEAN,4.265415549597855,0.2583280955373979,3.567024128686327,160100.0
-118.13,34.06,17.0,1714.0,572.0,1590.0,568.0,1.1875,<1H OCEAN,3.017605633802817,0.3337222870478413,2.7992957746478875,183900.0
-121.54,39.08,23.0,1076.0,216.0,724.0,197.0,2.3598,INLAND,5.461928934010152,0.2007434944237918,3.6751269035532994,57500.0
-118.34,34.04,42.0,2010.0,494.0,1203.0,427.0,1.9408,<1H OCEAN,4.707259953161593,0.2457711442786069,2.8173302107728335,134600.0
-122.02,37.26,34.0,1764.0,243.0,692.0,223.0,8.0331,<1H OCEAN,7.910313901345291,0.1377551020408163,3.103139013452915,500001.0
-122.28,40.5,21.0,2405.0,476.0,1197.0,412.0,2.6488,INLAND,5.837378640776699,0.1979209979209979,2.9053398058252426,83100.0
-117.19,32.78,34.0,4108.0,664.0,1659.0,644.0,4.4097,NEAR OCEAN,6.37888198757764,0.1616358325219084,2.5760869565217392,252000.0
-117.91,33.78,26.0,4297.0,1037.0,3596.0,967.0,3.045,<1H OCEAN,4.44364012409514,0.2413311612753083,3.718717683557394,184000.0
-121.09,37.61,42.0,1787.0,296.0,921.0,287.0,3.8864,INLAND,6.2264808362369335,0.1656407386681589,3.2090592334494774,171400.0
-122.4,37.78,32.0,352.0,132.0,313.0,105.0,2.5742,NEAR BAY,3.3523809523809525,0.375,2.980952380952381,350000.0
-117.66,35.62,11.0,5897.0,1138.0,2728.0,1072.0,4.15,INLAND,5.500932835820896,0.1929794810920807,2.544776119402985,85700.0
-118.32,33.96,47.0,1297.0,292.0,704.0,264.0,3.3214,<1H OCEAN,4.912878787878788,0.2251349267540478,2.6666666666666665,166500.0
